userName,email,passw,fullName,address,creditcard
spiderman,spiderman@avengers.ca,spiderman123,spiderman,788 30th St. SE Calgary,5160633106331830
superman,superman@krypton.ca,superman123,superman,749 Dufferin Blvd. SE Calgary,5737136326306570
ironman,ironman@avengers.ca,ironman123,ironman,26 40th St. SE Calgary,5316750304290480
batman,batman@batcave.ca,batman123,batman,156 51st Ave. SE Calgary,7701807363243340
antman,antman@avengers.ca,antman123,antman,138 42nd Ave. NE Frankfurt,5089631401320640
thor,thor@avengers.ca,thor123,thor,311 Sushi St NE Tokyo,1658727059039570
goku,goku@vegeta.ca,goku123,goku,966 Smed Lane SE Calgary,6460209460197230
piccolo,piccolo@namek.ca,piccolo123,piccolo,879 37th Ave. NE Houston,2539205415299800
krillin,krillin@namek.ca,krillin123,krillin,472 Ogden Dale Rd. SE Copenhagen,1401492157138350
MasterRoshi,roshi@kamehouse.ca,MasterRoshi123,MasterRoshi,"754 Sunridge Way, NE, Calgary",1862114102543510
